Tweet,HS,Abusive,Label,Sentiment
 awaasss jangan sampai beritanya sampai ke saudara gerung nanti susah mencari kosakatanya kalau bocor saja memicing mata bibir monyong kesamping suara keluar ky lagi nhn kentut politik kotor sekali zaman ini kalau tahu brt ini pulang sambil ky nhn ngeden dungu xf xf x xb,1,1,Toxic,Negative
pinokio umur tahunan itu ganti presiden,1,0,Hatespeech,Negative
 cerita silat lae xf xf x x semacam kho merah muda oh yang dari indonesia tapi liang ie shen penulis dari cina ,0,0,Netral,Positive
 benci sekali dengan umat islam,1,0,Hatespeech,Negative
 provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibukota beginilah cara cebong mendeskripsikan kekalahan junjungannya for your information ahok belum pernah ikut pemilihan apapun kecamatan jadi wakil dan dia bukanlah etnis mayoritas,1,1,Toxic,Negative
 dari pada gue nete ,0,1,Abusive,Negative
 wkwk bani lowo ,1,1,Toxic,Negative
takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan iblis makhluk yang alim amp telah beribadah beratus tahun dilaknat karena hasud takaburnya apalagi hanya seorang ahli ilmu filsafat yang tidak failosof mari kita demo diri sendi,0,0,Netral,Positive
a orang yang suka ke konser konser sedikit boros ,0,0,Netral,Positive
 sampai kapan makan racun banyak ulama yang mengatakan hukum rokok mubah dan ada juga ,0,0,Netral,Positive
susilo bambang yudhoyono presiden ri ke meminta khofifah emil untuk dekat dengan masyarakat no bisa bagus khofifahemilnomer,0,0,Netral,Positive
 sudah biasa kali gue penggemar korea pop tapi kalau mengomong sama teman gue idol gue banci homo ,1,1,Toxic,Negative
saya suka video uniform resource locator awal kisah perseteruan haji bolot amp malih tongtong ,0,0,Netral,Positive
budaya kafir bersungguh kalau hal islam tidak diindahkan ,0,0,Netral,Positive
 xf xf xe xb lah lah lah hem hem xf xf xe xa semua diam semua bisu dan kita coba tanya sama rumput yang bergoyang dan xe x xab xe x xab xe x xab xe x xaa xe x xaa xe x xaa ,0,0,Netral,Positive
apabila setan membisikkan was was kepadamu mintalah perlindungan kepada allah qs al a xe x xraf dan fussilat ,0,0,Netral,Positive
 kalau kamu ateis apa sibuk dengan agama orang ,0,0,Netral,Positive
lengserkan jokowi bangsat ,1,1,Toxic,Negative
 selamat hari kartini ganti presiden presidenbaru,0,0,Netral,Positive
 bajingan homo nhati terhadap anak kita terutama di kamar mandi laki jangan biarkan sendiri uniform resource locator,1,1,Toxic,Negative
 iya cocot ,1,1,Toxic,Negative
 karena budaya indonesia ,0,0,Netral,Positive
 yang mengajarkan salat a saja itu orang asing dia hanya ingin memecah belah islam ,0,0,Netral,Positive
 x kamu berbicara saja tidak benar bangkai ,1,1,Toxic,Negative
 kita semua tidak pernah akan memercayai yang negara kita di suatu hari nanti akan dijajah oleh ke ranah terdapat kespembubaran sistem beraja di negara kita kini untuk menjadikan sebagai negara republik komunis padahal negara penjaja,0,0,Netral,Positive
tapi masih menikmati kebijakan yang dulu diusulkan partai komunis indonesia lah iya apa ,1,0,Hatespeech,Negative
kalau seumpama orang cina di usir paksa dari indonesia bagaimana,1,0,Hatespeech,Negative
 bunda ngentot yuk ,0,1,Abusive,Negative
 cina babi cina maling dan usir cina hypertext transfer protocol over secure socket layer t co yhiwhjp,1,1,Toxic,Negative
bung karno anti asing dan beliau dari jawa coba deh adakan konsensus lebih banyak mana jawa yang anti asing atau pro asing karena kebo ohannya dan kalau kami keliru kami tutup akun ,0,0,Netral,Positive
proyek korupsi rezim susilo bambang yudhoyono uniform resource locator,1,0,Hatespeech,Negative
 wajar saja lihat saja tingkah beberapa petinggi negeri ini yang suka mencampur bahas indonesia dengan bahas asing setiap kali bicara ,0,0,Netral,Positive
ab pribadi yang senang berkompetisi dalam hal yang baik dan positif,0,0,Netral,Positive
 terus menurut kamu kitab suci agama apa yang di bilang om mendadak kalap,1,0,Hatespeech,Negative
 suka menutup mata tidak ditutup pun sudah terlihat tertutup gara sipit ,0,0,Netral,Positive
 saya sebagai muslim tidak merasa pak menistakan kitab suci alquran an karena dalam alquran an sendiri ada beberapa suku kata yang sampai detik ini belum diketahui makna faktualnya oleh umat islam tetapi kami yaitu kata tersebut ada makna yang tersirat fiksi yang belum,0,0,Netral,Positive
 eh kasar kamu kampang ,1,1,Toxic,Negative
bentar lagi gue rilis album the onta si wkwk ,0,0,Netral,Positive
 ada cebong bang dia merasa paling benar ,1,1,Toxic,Negative
najis banget gue mentwit apa barusan he ,0,1,Abusive,Negative
kamu transgender atau bagaimana anjing uniform resource locator,1,1,Toxic,Negative
 awas bintitan kamu mengintip titit kucing ,0,1,Abusive,Negative
 bawel bawa perasaan bolot baik bodor enggak jelas wkwk apa ya sudah itu saja deh ,0,1,Abusive,Negative
 gue menyarankan tidak perlu banyak bacot maling ayat langsung to the point saja kamu jadi orang yang tidak sepaham kamu teriaki saja kafir sesat liberal pemuja dukun bla blaaa pasti hatimu puas deh ,1,1,Toxic,Negative
jangan salah target bukan ahok agenda utama lengserkan jokowi ,1,0,Hatespeech,Negative
 masa baru kena tagar saja sudah kepanasan ingin tahu banget ganti presiden,1,0,Hatespeech,Negative
maju kamu sini duit tapi kamu goyang kaki tak buat pape mana lah duit nak maju kat kamu bodoh uniform resource locator,0,1,Abusive,Negative
 huria kristen batak protestan berdiri itu sejak pecahnya kristen katolik pada zaman penjajahan belanda dulu tidak ada yang namanya kristen protestan yang ada cuma kristen katolik terjadilah perpecahan dan berdirilah huria kristen batak protestan yang pertama kali di tarutung dan nah sekarang anda saya k,0,0,Netral,Positive
apa apa banyak baca biar pintar jepang amerika cina utang sama siapa anda tau tidak ,0,0,Netral,Positive
prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu,1,0,Hatespeech,Negative
 dan yang takut dengan azan adalah iblis ,0,0,Netral,Positive
 yang goblok itu adalah bani cebong tukang tipu penjilat penguasa yang ketahuan gerakan masa yang dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal ,1,1,Toxic,Negative
 wah cebong sewot dan xf xf x x xf xf x x xf xf x x ,1,1,Toxic,Negative
 gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,0,0,Netral,Positive
padahal gubernur saat ini djarot mayoritas partai politik di dewan perwakilan rakyat daerah juga pendukung ahok djarot payah ya mereka uniform resource locator,1,0,Hatespeech,Negative
 rezim rusak bukan memperbaiki sistemnya malah sibuk cari kesalahan kalau itu pasti ketemu saja komisi pemberantasan korupsi alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya ,0,0,Netral,Positive
saat orang orang saling menuding antek asing asing sesungguhnya bertepuk tangan ,0,0,Netral,Positive
 nah lah katanya anti asing ,0,0,Netral,Positive
selamat pak semoga bisa terus berkiprah bahkan tingkat nasional ,0,0,Netral,Positive
 asyikmnang saya sih ikut ulama saja,0,0,Netral,Positive
 yang saya ketahui bahwa diketapang banyak tenaga kerja asing asing yang bekerja di berbagai perusahaan termasuk pt who tambang bauksit yang viral saat pemilihan presiden dulu dan bisa jadi ini karena kerja sama tersebut terjadi di era gubernur cornelis dan wakilnya tidak,0,0,Netral,Positive
 anak pecun tidak jauh dari hobi zina haha ,1,1,Toxic,Negative
 aku bom surat berharga syariah negara ,0,0,Netral,Positive
 istirahat saja pak presiden momentum sudah berlalu saya pernah jadi saksi telinga dan mata awal rapat pembentukan pada di pacitan tahun ,0,0,Netral,Positive
pada house select committee on assassination hsca menemukan cacat investigasi yang dilakukan fbi dan warren commission hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya ,0,0,Netral,Positive
 tak terasa genap tahun mendatang april akan digelar hajatan pemilihan presiden acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman dan lancar amin ,0,0,Netral,Positive
 ian pantat ,0,1,Abusive,Negative
 mengakuinya orang pintar dan beragama memangnya agama mana yang memperbolehkan menista dan menghujat orang lain jangankan orang bodoh orang yang maaf sejak lahir idiot sekalipun dia kita harus hargai sebagai sesama ciptaan tuhan ingat iblis itu juga pintar dan sangat licik ,0,1,Abusive,Negative
pendaftaran calon presiden untuk pemilihan presiden saja belum dibuka sampai agustus yang normatif begini politikus partai demokrasi indonesia perjuangan masih belum paham ganti presiden ,1,0,Hatespeech,Negative
sih tolol sudah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang dewan perwakilan rakyat paya cebong uniform resource locator,1,1,Toxic,Negative
dari dulu kenapa bapak gue kalau ke mantan mantan gue selalu merasa sedih sampai kepikiran dan tidak bisa tidur lo dan gue merasa jadi anak yang berengsek saja begitu ke laki ,0,1,Abusive,Negative
cina perusak bangsa usir setuju ,1,0,Hatespeech,Negative
 ganti presiden secara konstitusional hak setiap rakyat woiii begini nih kalau plonga plongo tapi kelakuan otoriter ,1,1,Toxic,Negative
mari kita wujudkan pilihan kepala daerah kota bengkulu aman dan damai coki adem heru ,0,0,Netral,Positive
mau tanya serius ini sama presiden jokowi kenapa yang ada cuma islam nusantara kenapa tidak ada kristen nusantara buddha hindu bahkan kong hucu nusantara ,0,0,Netral,Positive
kebersamaan pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam,0,0,Netral,Positive
cowok yang jago drasex mana sini ngentot sama adik luvian ,0,1,Abusive,Negative
 kroasia itu kafir tau apa belajar sama kafir sudah lupa sama kapling sorga ,1,1,Toxic,Negative
 lah bukan nya menteri soeharto ada yang homo ,1,1,Toxic,Negative
gue tau lah bukan yang dulu yang masih culun dan takut semua orang pasti akan berubah perlahan entah itu baik buruk ,0,0,Netral,Positive
pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam ,0,0,Netral,Positive
kejar setoran memang cukup bangsat mana rupiah turun xf xf x xa ,1,1,Toxic,Negative
semoga ini ada tindak lanjutnya pelaporan terhadap penista agama adek armando akan dilakukan langsung oleh ketua umum front pembela islam kh shobri lubis ke badan reserse kriminal markas besar kepolisian republik indonesia gambir jakarta pusat pada selasa pukul waktu indonesia bagian barat perhaps ,1,0,Hatespeech,Negative
 bangkai hajar ,1,1,Toxic,Negative
 onta mati kalau kebanyakan minum ,1,0,Hatespeech,Negative
uniform resource locator ahok tng mereka terus was was hidupnya ,1,0,Hatespeech,Negative
itu baru di sul teng ini ekses akibat tersandera hutang cina ganti presiden presidenbaru tetapjokowiganti,1,0,Hatespeech,Negative
 pride yunani xe xbd x xcf x xce xb xcf x xce xb xcf x xce xb xce xbd xce xaf xce xb hyper xc xphania keangkuhan harga diri kesombongan dikenal juga dengan sebutan hubris vanity harga diri yang tinggi dapat mengubah manusia sombong kesombongan membuat manusia terkutuk dimata tuhan dan dapat membuat manusia mencintai dirinya sendiri ,0,0,Netral,Positive
aku bertanya tujuan pada hati logikaku yang menjawab tapi hati tak tenang aku bertanya pada logika hatiku sedih ku cari jawaban dalam wasiat yang beliau tinggalkan dan aku mulai menjadi terasing dan asing di mata manusia tak apa duhai diri ada,0,0,Netral,Positive
 tak hanya kurang bertaji nya komisi pemberantasan korupsi era ini tapi era ini juga komitmen dalam pemberantasan korupsi tidak surat pemberitahuan tahunan di era pak susilo bambang yudhoyono ,1,0,Hatespeech,Negative
 admin tolol di partai tolol partai tolol untuk orang tolol ,1,1,Toxic,Negative
 ayu ting ting goyang hot dekat raffi ahmad nagita slavina kampungan norak uniform resource locator,0,1,Abusive,Negative
video tentang tenaga kerja asing dibuat oleh malaysia tapi mengutip pernyataan saya di ,0,0,Netral,Positive
ppp jangan buru buru tolak wacana pilihan kepala daerah lewat dewan perwakilan rakyat daerah,0,0,Netral,Positive
random pagi ada bapak menyamper ke meja kerja terus bertanya pakai bedak apa sih biar mukanya bersih istri saya butek soalnya ingin ku jawab pakai air wudhu tapi ku kristen ,0,0,Netral,Positive
 kok gue kampret ,0,1,Abusive,Negative
memek lonte ingin disodok kontol gede ,0,1,Abusive,Negative
jokowi saja yang mundur tutup uniform resource locator,1,0,Hatespeech,Negative
 berbicara apa itu mulut kok seperti banci beli kaca dulu lihat dirimu bro ,1,1,Toxic,Negative
 ada amin racist nada amat dani nada ratna sih paiiit nada sih onta nada sih lobang anus jadi jangan takut oi oi kehabisan obat penenang ya ,1,1,Toxic,Negative
 tunggu komando imam bejat cabul tai bir xf xf xd xba dan kenapa bawa ulama dasar banj sempak ,1,1,Toxic,Negative
kabinet berantakan pemecah belah persatuan hanya ada di rezim ini ,1,0,Hatespeech,Negative
ih mengakui lebih pintar dari orang politik mengaca dulu oi tampang kamu saja k xc xak orang bego wkwk ,1,1,Toxic,Negative
 partai demokrasi indonesia perjuangan menang dengan menekan perusahaan tambang dengan target proyek yang impossible lalu dilelang murah pada antek cina ntb contoh kasus partai demokrasi indonesia perjuangan mau menang dasar bajingan ,1,1,Toxic,Negative
 tidak percaya sama mulut buaya mu bawang ,1,1,Toxic,Negative
 jika susilo bambang yudhoyono prabowo menyatu melawan mega jokowi maka peristiwa akan terulang dimana partai demokrasi indonesia perjuangan yang incumbent dikalahkan mutlak oleh susilo bambang yudhoyono tetapi jika jokowi mega susilo bambang yudhoyono melawan prabowo mk pemilihan presiden selesai sudah jika poros di pemilihan presiden mk salah satu lawan,0,0,Netral,Positive
 jangan kayak banci kaleng kamu gatot sering buat gaduh gentleman lah mundur siap bersaing di pemilihan presiden melawan jokowi,1,1,Toxic,Negative
bebal ,0,0,Netral,Positive
 yang terakhir karena indonesia negara dengan populasi muslim terbesar di dunia yang mana islam saat ini merupakan musuh barat amp komunis karena dapat menghambat agenda dan kepentingan mereka obviously ,0,0,Netral,Positive
 umuh begitu persib persib kunyuk dan xf xf x x xf xf x x xf xf x x ,1,1,Toxic,Negative
 buat film muslim pilih ahok mati enggak di disalatkan dijamin laris ,1,0,Hatespeech,Negative
tapi banu banu yahudi itu tentu beda dengan banu banu kristen suriah salah satu perbedaan ada banu yahudi tetap pakai eloah elohim yahwe sedangkan suriah sudah pakai alah allah ,0,0,Netral,Positive
 eh kenapa muka merah itu tak dapat cendol ke bukan lah setan cuaca sekarang nih panas ,0,1,Abusive,Negative
pemberitaan saracen diframing katak seakan tim prabowo dan anies sandi sebenarnya itu media menumpahkan sakit hati katak dan cebong ehe,1,1,Toxic,Negative
giat bhayangkara pembina keamanan dan ketertiban masyarakat brigadir polisi manajemen berbasis sekolah sihombing pada hari ini rabu april melaksanakan sambang desa dan tatap muka sekaligus memantau keamanan dan ketertiban masyarakat menuju pilihan kepala daerah di desa lobusiregar i tepatnya di rumah rudi panjaitan helman siahaan dan hotman siahaan,0,0,Netral,Positive
sayang banget ya melihat perempuan kayak begini tidak ada status apa tetapi sudah menempel sama laki laki sana sini aduh nagita slavina blak blak sebut ayu ting ting kampungan xe x x viva uniform resource locator,0,1,Abusive,Negative
 jangan lupa juga kang umat katolik dan minoritas lainnya diperhatikan gubernur untuk semua golongan bukan satu golongan ,0,0,Netral,Positive
 kan saya bukan cebong sudah dibilangi dari kemarin masih mengeyel situ memaksa saya jadi cebong ,1,1,Toxic,Negative
 kelemahan gerindra itu ada di orang ini prabowo turun elektabilitasnya karena congor fadli zon surat pemberitahuan tahunan durno ,1,1,Toxic,Negative
selamat hari kartini setiap kali selalu dirayakan lalu apa maknanya kali ini ,0,0,Netral,Positive
foto memang bisu tetapi memiliki banyak arti yang susah diartikan sama seperti kamu susah diartikan mau putus atau lanjut ,0,0,Netral,Positive
 wkwk aku sudah mengalaminya xf xf x x xf xf x x xf xf x x xf xf x x setibanya muncul grub wa a dan bani abdi hadi a k a mbahku dan seketika aku mek kenal beberapa orang saja xf xf xa xa xf xf xa xa xf xf xa ,0,0,Netral,Positive
ayah pres badar dan nuqaba paling boekkk dia nih hebat dalam bidang agama x takut natural killer tegur member sendiri dan selalu buat lawak hambar yang paling aku ingat sampai sekarang lawak dia kalau orang cukup jom gerak sekarang dia akan gerakan badan dia yang chubby itu ,0,0,Netral,Positive
 seorang anak pekan telah mengilhamkan dasar ekonomi baru deb dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar beliau adalah allah ya rahman tun abdul razak ds malaysia memilih hogohundi,0,0,Netral,Positive
 haha sialaaan nih sih ternyata kalau lagi lapar presiden juga mau disikat sama dia ,0,0,Netral,Positive
 mau menasihati kali supaya tidak ugalan nih rezim eh tapi ini negeri sudah keburu hancur nah sekarang saja ekonomi moral menikah kacaoooooo ,1,0,Hatespeech,Negative
 alah silit kebelet kenapa dikasihani orang makin sayang saya pak setelah kasus media sosial gue baru sadar beberapa hal di satu instansi kemarin nanti gue ceritakan duuuhhh xf xf xa xa xf xf xa xa xf xf x x ,0,1,Abusive,Negative
 iya tadi cacat ,0,0,Netral,Positive
 tahun rakyat makan aspal dan beton ini adalah solusi jitu mengurangi kemiskinan keahlian cebong hanya tukang tipu cebong adalah begitu goblok enggak ketulungan plonga plongo mengakibatkan optimisme berlebihan ganti presiden ,1,1,Toxic,Negative
 aku pernah sempat baca tentang harun yahya ini yang membelot ke kubu yahudi dengan freemason nya kadang suka tidak percaya ,0,0,Netral,Positive
kita maju bersama ulama kita bergerak bersama semua tokoh agama untuk indonesia ikut gus mus,0,0,Netral,Positive
 ,0,0,Netral,Positive
 mukidi terlalu percaya diri pertanyaan mudah ya dijawab yang keras tapi saya meminta dijawab yang keras siapa nama saya ,0,0,Netral,Positive
 kemarin di hujat sekarang mengharap dasar para bani kampret ,1,1,Toxic,Negative
 penjelasan saya bukan fitnah silakan dibantah apollinaris darmawan sebut al alquran kitab sampah,1,1,Toxic,Negative
monyet saja koloe dibilang saudara sama kamu pasti ogah hidupmu kok begini amat ya itu hati apa comberan ,1,1,Toxic,Negative
body lufra scrub dengan bahan dasar lidah buaya untuk melembabkan kulit amp lebih bercahaya info body mass index ,0,0,Netral,Positive
 tak punya cacat di masa lalu karena belum bermasa lalu ,0,0,Netral,Positive
 jangan penganut bumi datar juga xf xf x xd soalnya teori bumi bulat kan dari orang asing yang notabene musuh mereka ,0,0,Netral,Positive
becak warga binjai hendak disita karena gunakan tenda bertuliskan ganti presiden partai keadilan sejahtera meradang bukti pemerintah panik dan takut ,1,0,Hatespeech,Negative
lebih baik jokowi mundur ,1,0,Hatespeech,Negative
musyawarah nasional alim ulama ppp di semarang menghasilkan lima rekomendasi syarat dan kriteria kriteria bagi calon wakil presiden yang akan mendampingi bapak jokowi di mendatang romahurmuziy,0,0,Netral,Positive
 luar biasa pencerahan nya saya merasa gagal sebagai anak ekonomi wkwk,0,0,Netral,Positive
 kafan berasal dari budaya yahudi kenapa umat islam mengklaim ,0,0,Netral,Positive
oleh rezim sekarang atas kendali negara cina komunis yang menjadi patron tunggal rezim anti islam jokowi ,1,0,Hatespeech,Negative
 itu tanda nya mau pilihan kepala daerah dan pemilihan presiden,0,0,Netral,Positive
misi membangun masyarakat yang gotong royong toleran dan harmoni selaras nilai budaya jawa barat yang luhur nojabarasyik asyikmnang,0,0,Netral,Positive
ketabahan pasangan dan taufik dan puan nurliyana yang wajar dicontohi jom kita beri sumbangan untuk meringankan beban pasangan ini come on twitter do your berpikir badan standarisasi nasional bank islam nurliyana bosan abdul razif ,0,0,Netral,Positive
 apa sih tai baru begitu doang belaganya sudah selangit tidak ingat ada karma nanti beberapa tahun lagi kalau idol kamu flop gue tertawa paling keras ,1,1,Toxic,Negative
 celeng kangen gue iya ,0,1,Abusive,Negative
 terangi negeri dengan budaya yuk pada mengunjungi ke purwokerto mumpung ada even rakyat purwokerto ekstra vaganza banyumas,0,0,Netral,Positive
presiden itu punya dana taktis dia bisa menggunakan untuk kepentingan rakyatnya di luar program pemerintah yang sudah ada soal program banyak sekali ada pembangunan infrastruktur kip kartu indonesia sehat sertifikat tanah perhutanan sosial bahan bakar minyak harga padat karya ,0,0,Netral,Positive
 amin ya allah timnya kinan saja sampai pelatihan ular karena dia dapat di rawa rawa aku dapatnya di sungai gede begitu dan musuhnya buaya wkwk ,0,0,Netral,Positive
 maju kamu memaki mama aku bolot ,1,1,Toxic,Negative
gerombolan kadal jidat gosong memang begitu sukanya ribut tapi kalau gerombolannya yang salah pura budek dasar gerombolan cingkrang uniform resource locator,1,1,Toxic,Negative
 sebegitu gentarnya dia takut terhadap kafir xf xf x x ,0,0,Netral,Positive
 betul padahal saracen juga siapa sehingga akun yang kritis dianggap saracen kan aneh jokowi,1,0,Hatespeech,Negative
 siapa bego kamu bukan teman gue najis sudah kesal sendiri gue ,1,1,Toxic,Negative
 kafir kristen selalu buat ulah,1,1,Toxic,Negative
 tau dong bau baunya sudah keciri ini sipit buluk ,1,1,Toxic,Negative
 kayak memegang bukan mucikari ,0,0,Netral,Positive
guru tk darma wanita persatuan desa plumbon porong deklarasi anti hoaks ujaran kebencian isu sarah dan mendukung pilihan kepala daerah damai,0,0,Netral,Positive
 anjir seram mainnya begituan xf xf x x xf xf x xc ,0,1,Abusive,Negative
 kayaknya bisa atau cuma bank tertentu bilang saja mau jual uang asing tukar ke rupiah ,0,0,Netral,Positive
 onta yaman nih dan setahun lagi gue deportasi kamu ,1,1,Toxic,Negative
